,coldid,prodid
1998,836,150
1999,1901,35
2000,836,131
2001,706,199
2002,597,69
2003,647,81
2004,1168,41
2005,2046,99
2006,602,7
2007,663,150
2008,1951,99
2009,1168,7
2010,1825,99
2011,741,131
2012,1538,11
2013,1951,150
2014,1718,41
2015,1350,7
2016,741,11
2017,1825,35
2018,836,199
2019,1350,35
2020,967,199
2021,1825,11
2022,597,199
2023,815,99
2024,399,35
2025,1408,81
2026,332,35
2027,332,7
2028,234,150
2029,2289,11
2030,332,41
2031,332,11
2032,1901,41
2033,836,81
2034,663,69
2035,386,7
2036,1350,41
2037,1951,81
2038,234,41
2039,399,41
2040,647,41
2041,399,69
2042,647,35
2043,1825,7
2044,2289,99
2045,762,81
2046,313,11
2047,706,81
2048,1965,7
2049,836,35
2050,1930,7
2051,1538,81
2052,1408,7
2053,663,150
2054,1951,35
2055,223,199
2056,1538,11
2057,1217,199
2058,678,35
2059,1997,199
2060,741,7
2061,386,81
2062,2046,199
2063,1825,199
2064,2241,81
2065,1997,99
2066,1718,35
2067,399,7
2068,313,199
2069,1965,35
2070,1965,35
2071,1947,35
2072,1965,150
2073,313,7
2074,2289,99
2075,1825,41
2076,1965,150
2077,201,99
2078,234,99
2079,386,69
2080,762,7
2081,332,11
2082,836,69
2083,762,41
2084,386,69
2085,1350,199
2086,332,41
2087,678,11
2088,1947,81
2089,678,131
2090,1348,7
2091,2251,150
2092,1718,7
2093,1947,131
2094,1538,7
2095,762,81
2096,647,150
2097,678,199
2098,1976,150
2099,1408,7
2100,815,7
2101,332,81
2102,687,99
2103,313,41
2104,1901,99
2105,386,99
2106,602,69
2107,1951,7
2108,687,99
2109,597,150
2110,2289,99
2111,234,35
2112,2074,35
2113,1947,41
2114,1168,7
2115,234,81
2116,1930,150
2117,332,131
2118,687,99
2119,1718,35
2120,2241,35
2121,1997,69
2122,836,99
2123,762,7
2124,399,150
2125,678,35
2126,2074,81
2127,223,199
2128,550,131
2129,386,35
2130,687,131
2131,2074,69
2132,1947,35
2133,647,41
2134,836,99
2135,602,11
2136,550,41
2137,678,131
2138,399,150
2139,1718,199
2140,602,11
2141,1965,99
2142,1976,35
2143,815,99
2144,741,41
2145,1947,99
2146,1217,69
2147,1976,81
2148,1997,199
2149,1718,41
2150,1997,99
2151,1408,7
2152,687,81
2153,1901,41
2154,706,131
2155,1930,81
2156,741,69
2157,332,199
2158,223,199
2159,2289,81
2160,201,7
2161,2046,35
2162,386,81
2163,741,131
2164,1350,150
2165,1997,7
2166,597,11
2167,2251,41
2168,2251,131
2169,2046,35
2170,201,35
2171,1348,7
2172,1718,131
2173,1901,35
2174,1408,99
2175,663,131
2176,687,35
2177,706,150
2178,313,199
2179,2074,11
2180,313,7
2181,386,41
2182,762,7
2183,1901,131
2184,2251,199
2185,967,69
2186,706,199
2187,1718,35
2188,2241,99
2189,1951,11
2190,2074,81
2191,1997,41
2192,1930,7
2193,2251,11
2194,399,7
2195,2046,99
2196,2074,81
2197,223,81
2198,2289,35
2199,1718,7
2200,1997,35
2201,2074,11
2202,602,11
2203,1947,131
2204,1718,131
2205,223,11
2206,1718,99
2207,2046,81
2208,1350,199
2209,1930,131
2210,1217,81
2211,399,7
2212,2289,99
2213,201,69
2214,647,7
2215,332,7
2216,647,81
2217,687,41
2218,836,7
2219,1976,41
2220,678,11
2221,1930,7
2222,550,41
2223,223,131
2224,1947,199
2225,550,7
2226,399,69
2227,647,7
2228,1825,35
2229,706,199
2230,687,131
2231,332,69
2232,2289,7
2233,1825,41
2234,201,41
2235,597,199
2236,815,11
2237,2074,150
2238,678,11
2239,1947,131
2240,223,11
2241,223,35
2242,687,35
2243,223,131
2244,550,35
2245,1976,7
2246,234,35
2247,1965,69
2248,550,199
2249,2251,199
2250,399,81
2251,2241,131
2252,663,69
2253,2074,35
2254,1168,7
2255,1965,7
2256,1997,199
2257,706,69
2258,967,11
2259,1825,7
2260,2046,7
2261,706,41
2262,1947,7
2263,1951,7
2264,201,131
2265,386,69
2266,332,199
2267,313,131
2268,1718,7
2269,1951,150
2270,550,11
2271,1825,41
2272,2046,131
2273,1348,11
2274,1350,7
2275,815,7
2276,201,99
2277,647,150
2278,1408,7
2279,1997,41
2280,1718,69
2281,1951,41
2282,1538,41
2283,2074,81
2284,1930,69
2285,2046,150
2286,706,81
2287,1965,11
2288,2289,81
2289,201,150
2290,815,199
2291,597,35
2292,602,11
2293,1538,69
2294,234,131
2295,1408,35
2296,1930,7
2297,1718,7
2298,597,7
2299,602,150
2300,836,35
2301,647,35
2302,2251,81
2303,1825,35
2304,201,150
2305,967,69
2306,663,35
2307,1825,41
2308,313,150
2309,1408,69
2310,386,131
2311,967,99
2312,836,11
2313,663,11
2314,762,150
2315,706,7
2316,678,81
2317,313,199
2318,836,150
2319,1217,11
2320,597,11
2321,386,41
2322,399,131
2323,663,69
2324,597,35
2325,602,81
2326,663,81
2327,647,81
2328,1930,150
2329,332,69
2330,313,99
2331,1408,35
2332,597,7
2333,602,99
2334,1718,150
2335,597,35
2336,647,7
2337,1976,11
2338,687,131
2339,967,41
2340,706,69
2341,602,99
2342,1718,41
2343,647,99
2344,234,150
2345,836,131
2346,687,99
2347,313,7
2348,836,35
2349,815,69
2350,663,131
2351,1538,11
2352,1901,131
2353,687,150
2354,647,150
2355,1976,99
2356,836,99
2357,313,11
2358,1217,41
2359,2046,131
2360,2251,150
2361,2074,131
2362,2241,81
2363,1350,99
2364,1825,35
2365,2241,131
2366,762,150
2367,2046,11
2368,313,69
2369,1997,41
2370,678,35
2371,1825,150
2372,1350,131
2373,836,131
2374,815,99
2375,1976,11
2376,223,131
2377,1947,41
2378,1538,35
2379,1930,35
2380,647,131
2381,597,131
2382,2074,199
2383,2289,131
2384,836,199
2385,1350,11
2386,1538,150
2387,332,81
2388,602,99
2389,2241,199
2390,1930,99
2391,1718,150
2392,1930,199
2393,815,35
2394,2046,11
2395,663,99
2396,223,99
2397,2074,99
2398,1947,69
2399,663,131
2400,332,35
2401,2289,81
2402,2074,99
2403,663,41
2404,223,131
2405,597,199
2406,597,150
2407,1168,99
2408,313,7
2409,201,35
2410,1901,41
2411,1951,81
2412,597,11
2413,1350,69
2414,1168,150
2415,234,131
2416,815,7
2417,663,35
2418,332,99
2419,706,41
2420,2046,199
2421,1825,69
2422,687,41
2423,386,7
2424,663,99
2425,1976,150
2426,1538,81
2427,550,150
2428,706,199
2429,332,11
2430,223,41
2431,2046,99
2432,386,81
2433,678,150
2434,1947,99
2435,706,35
2436,2046,69
2437,1538,150
2438,1901,99
2439,762,99
2440,234,11
2441,1168,69
2442,223,7
2443,1951,41
2444,1348,99
2445,332,99
2446,2046,81
2447,234,131
2448,706,35
2449,223,7
2450,815,69
2451,2046,81
2452,1976,11
2453,223,35
2454,399,199
2455,1901,35
2456,647,69
2457,313,41
2458,1408,11
2459,1825,41
2460,706,7
2461,1965,7
2462,1947,131
2463,1718,150
2464,1930,99
2465,602,69
2466,399,81
2467,1947,199
2468,1168,35
2469,741,41
2470,706,11
2471,762,35
2472,1168,131
2473,223,69
2474,597,199
2475,223,99
2476,399,41
2477,815,99
2478,1350,7
2479,550,199
2480,2251,11
2481,1997,199
2482,1951,81
2483,1976,199
2484,1947,81
2485,399,199
2486,2251,150
2487,1348,7
2488,762,150
2489,201,131
2490,1825,11
2491,386,99
2492,1976,41
2493,836,131
2494,1930,131
2495,1947,99
2496,602,7
2497,1538,81
2498,1718,7
2499,201,35
2500,663,81
2501,1538,199
2502,678,99
2503,2046,7
2504,550,81
2505,762,150
2506,1930,11
2507,386,69
2508,663,11
2509,706,69
2510,1951,150
2511,687,150
2512,678,99
2513,602,81
2514,1718,35
2515,815,199
2516,1825,35
2517,1976,7
2518,1930,35
2519,836,7
2520,967,11
2521,201,150
2522,647,35
2523,1976,150
2524,313,35
2525,1350,35
2526,678,81
2527,1947,131
2528,550,199
2529,201,81
2530,1168,35
2531,313,41
2532,678,131
2533,201,11
2534,602,7
2535,223,99
2536,687,150
2537,836,150
2538,1930,41
2539,2289,131
2540,234,81
2541,234,150
2542,741,35
2543,1930,99
2544,597,11
2545,815,99
2546,1538,7
2547,1825,7
2548,234,150
2549,550,11
2550,1997,11
2551,1976,131
2552,1168,7
2553,386,150
2554,201,11
2555,687,11
2556,2074,150
2557,399,131
2558,2074,81
2559,2241,99
2560,1930,81
2561,687,99
2562,313,199
2563,647,35
2564,1168,11
2565,1947,131
2566,550,35
2567,1951,11
2568,1965,150
2569,602,99
2570,2289,99
2571,1348,7
2572,234,11
2573,1965,41
2574,2241,81
2575,2289,199
2576,1965,69
2577,201,41
2578,836,131
2579,550,99
2580,386,11
2581,1348,199
2582,1901,99
2583,597,7
2584,1217,131
2585,836,131
2586,815,41
2587,1168,99
2588,967,35
2589,678,81
2590,313,35
2591,741,41
2592,741,199
2593,2241,150
2594,223,41
2595,1718,131
2596,1947,199
2597,1825,199
2598,706,199
2599,2046,41
2600,2289,81
2601,399,7
2602,2251,81
2603,386,11
2604,1168,81
2605,1976,81
2606,687,41
2607,597,11
2608,678,81
2609,663,35
2610,663,150
2611,1965,11
2612,678,11
2613,1408,99
2614,399,7
2615,663,35
2616,602,99
2617,1976,35
2618,1348,199
2619,2251,150
2620,836,69
2621,647,11
2622,1951,11
2623,967,35
2624,1538,199
2625,836,99
2626,1350,150
2627,1168,35
2628,1350,11
2629,678,7
2630,201,131
2631,2074,131
2632,313,7
2633,313,199
2634,815,11
2635,1825,7
2636,1901,199
2637,386,41
2638,815,35
2639,1930,150
2640,2046,41
2641,1976,99
2642,647,199
2643,815,69
2644,597,35
2645,2241,11
2646,1348,81
2647,399,150
2648,234,150
2649,1350,131
2650,687,69
2651,1217,131
2652,550,199
2653,1168,199
2654,1965,131
2655,663,99
2656,1408,199
2657,1951,35
2658,2046,150
2659,223,199
2660,1348,7
2661,1718,11
2662,1951,11
2663,1168,150
2664,741,131
2665,223,99
2666,386,41
2667,1718,7
2668,386,35
2669,386,199
2670,647,199
2671,1538,41
2672,1538,35
2673,836,11
2674,1930,99
2675,1350,150
2676,836,35
2677,2289,131
2678,706,99
2679,1997,81
2680,1901,41
2681,1901,7
2682,2074,150
2683,1976,11
2684,597,41
2685,1348,41
2686,597,150
2687,1217,69
2688,1901,131
2689,1718,131
2690,1168,150
2691,836,199
2692,1217,81
2693,2251,69
2694,1217,81
2695,1825,35
2696,2046,7
2697,762,7
2698,2046,69
2699,1348,131
2700,2289,199
2701,1718,131
2702,706,69
2703,741,7
2704,967,150
2705,313,7
2706,2289,150
2707,550,99
2708,1718,199
2709,1348,81
2710,1348,199
2711,1168,69
2712,602,199
2713,2241,35
2714,550,99
2715,399,131
2716,1997,150
2717,815,41
2718,234,81
2719,762,69
2720,2241,99
2721,741,131
2722,597,35
2723,1951,81
2724,313,41
2725,2289,41
2726,2289,150
2727,1951,35
2728,1168,41
2729,706,7
2730,1947,35
2731,1168,35
2732,597,131
2733,2251,41
2734,2241,81
2735,1217,7
2736,815,35
2737,1408,41
2738,550,150
2739,550,7
2740,836,35
2741,647,99
2742,1538,199
2743,1718,199
2744,678,131
2745,2046,81
2746,1350,199
2747,1997,7
2748,2251,81
2749,234,81
2750,597,81
2751,1538,131
2752,597,131
2753,762,11
2754,1997,131
2755,741,69
2756,647,99
2757,741,199
2758,815,7
2759,967,199
2760,602,199
2761,550,131
2762,2251,99
2763,678,99
2764,706,81
2765,678,35
2766,678,131
2767,386,131
2768,1965,41
2769,2251,81
2770,967,41
2771,1408,131
2772,762,99
2773,762,7
2774,399,199
2775,2046,35
2776,706,199
2777,1965,150
2778,836,99
2779,815,69
2780,741,131
2781,332,81
2782,1997,35
2783,1976,150
2784,1217,199
2785,967,81
2786,2289,35
2787,1901,199
2788,687,7
2789,2074,81
2790,663,41
2791,386,69
2792,1930,199
2793,1901,7
2794,2074,11
2795,663,81
2796,678,99
2797,967,81
2798,967,99
2799,1718,7
2800,602,81
2801,762,99
2802,2241,35
2803,201,81
2804,1168,35
2805,815,131
2806,1947,99
2807,1408,150
2808,332,99
2809,550,150
2810,706,35
2811,1408,7
2812,741,35
2813,1901,69
2814,1976,7
2815,1718,131
2816,663,199
2817,647,199
2818,967,131
2819,1408,69
2820,1538,35
2821,741,131
2822,2251,81
2823,1947,11
2824,1538,150
2825,1718,35
2826,741,7
2827,687,199
2828,678,199
2829,1538,11
2830,762,199
2831,762,7
2832,1930,99
2833,399,131
2834,2074,41
2835,234,69
2836,1901,35
2837,223,81
2838,2046,150
2839,332,7
2840,1976,41
2841,386,81
2842,313,69
2843,836,99
2844,663,41
2845,201,7
2846,1408,69
2847,2046,41
2848,313,69
2849,663,7
2850,647,11
2851,1997,99
2852,1965,69
2853,741,199
2854,1930,199
2855,2074,131
2856,1408,41
2857,836,81
2858,1997,11
2859,399,69
2860,647,99
2861,2289,7
2862,386,99
2863,223,131
2864,1168,11
2865,1538,41
2866,602,81
2867,1976,81
2868,1997,150
2869,762,81
2870,678,131
2871,313,69
2872,234,7
2873,597,41
2874,223,150
2875,647,199
2876,332,41
2877,1217,150
2878,1965,41
2879,1408,81
2880,602,69
2881,687,99
2882,2241,69
2883,313,150
2884,647,35
2885,602,131
2886,678,81
2887,762,69
2888,2046,131
2889,1217,199
2890,2241,81
2891,550,150
2892,2074,199
2893,2289,69
2894,2289,199
2895,836,81
2896,836,69
2897,815,41
2898,332,41
2899,332,69
2900,550,199
2901,1976,11
2902,1168,35
2903,647,81
2904,1997,131
2905,1718,35
2906,967,199
2907,741,150
2908,1965,41
2909,399,11
2910,1718,199
2911,1997,131
2912,2046,11
2913,550,99
2914,2046,81
2915,1930,11
2916,597,69
2917,2046,99
2918,2251,7
2919,1538,69
2920,550,199
2921,687,11
2922,2289,81
2923,1901,199
2924,647,11
2925,2046,11
2926,234,150
2927,1965,199
2928,1217,35
2929,1217,81
2930,1901,7
2931,201,81
2932,201,7
2933,1350,41
2934,313,11
2935,1951,35
2936,2241,199
2937,2046,81
2938,647,199
2939,1718,7
2940,836,81
2941,201,7
2942,386,99
2943,313,11
2944,1350,81
2945,1930,35
2946,2046,131
2947,1947,199
2948,550,7
2949,1217,11
2950,647,99
2951,2074,81
2952,1825,99
2953,1538,41
2954,550,199
2955,647,35
2956,647,11
2957,1217,99
2958,1997,11
2959,741,81
2960,2241,81
2961,2074,41
2962,201,150
2963,1997,11
2964,647,7
2965,1348,99
2966,1901,35
2967,1718,131
2968,706,150
2969,1718,199
2970,2046,131
2971,602,199
2972,2251,41
2973,1348,99
2974,815,150
2975,399,150
2976,332,81
2977,201,199
2978,762,69
2979,1947,99
2980,1825,150
2981,597,35
2982,678,41
2983,1965,69
2984,1718,35
2985,223,150
2986,597,150
2987,1217,69
2988,1901,7
2989,1217,131
2990,332,199
2991,663,69
2992,223,199
2993,678,81
2994,687,11
2995,647,131
2996,762,150
2997,1901,69
2998,678,35
2999,1718,7
3000,647,150
3001,815,199
3002,1538,199
3003,1965,7
3004,1930,69
3005,313,81
3006,687,81
3007,386,199
3008,1825,81
3009,1825,35
3010,967,7
3011,967,35
3012,1350,41
3013,1997,150
3014,234,99
3015,399,35
3016,1718,35
3017,2241,7
3018,1965,199
3019,741,150
3020,2251,81
3021,313,35
3022,2289,131
3023,2074,131
3024,836,150
3025,1408,7
3026,1930,11
3027,1217,41
3028,815,11
3029,815,7
3030,1168,99
3031,663,150
3032,815,99
3033,550,131
3034,678,35
3035,1718,11
3036,647,35
3037,967,99
3038,234,35
3039,663,11
3040,762,7
3041,687,150
3042,2241,35
3043,550,41
3044,1348,199
3045,550,81
3046,1901,131
3047,597,199
3048,1348,11
3049,762,131
3050,678,131
3051,1217,69
3052,836,81
3053,1947,199
3054,741,99
3055,1348,35
3056,1901,11
3057,386,81
3058,1951,131
3059,1997,131
3060,741,11
3061,1825,7
3062,1718,81
3063,1947,99
3064,201,7
3065,678,199
3066,836,150
3067,2241,41
3068,1538,35
3069,2074,199
3070,762,131
3071,201,69
3072,741,99
3073,741,11
3074,313,11
3075,815,7
3076,234,41
3077,1976,81
3078,597,199
3079,1538,150
3080,1718,69
3081,1901,11
3082,332,81
3083,2074,199
3084,201,69
3085,597,150
3086,741,69
3087,399,131
3088,234,41
3089,201,7
3090,1217,199
3091,1976,35
3092,313,41
3093,332,150
3094,687,150
3095,815,11
3096,2241,41
3097,687,81
3098,313,41
3099,550,81
3100,1997,150
3101,647,69
3102,663,11
3103,687,69
3104,1901,150
3105,1718,99
3106,201,35
3107,647,81
3108,1718,41
3109,2289,69
3110,1538,35
3111,762,81
3112,1168,199
3113,2241,131
3114,313,131
3115,1718,150
3116,2241,35
3117,2241,69
3118,1408,131
3119,1825,150
3120,2046,69
3121,550,41
3122,234,150
3123,386,11
3124,762,150
3125,1997,99
3126,2046,7
3127,2241,41
3128,687,99
3129,201,99
3130,678,150
3131,706,11
3132,597,199
3133,602,150
3134,550,99
3135,2046,81
3136,1947,150
3137,706,81
3138,1718,199
3139,1217,35
3140,550,7
3141,663,69
3142,399,69
3143,550,99
3144,386,131
3145,1997,11
3146,967,69
3147,967,7
3148,1217,81
3149,1965,81
3150,1901,11
3151,647,11
3152,1901,131
3153,399,150
3154,1350,69
3155,1718,131
3156,1538,81
3157,399,35
3158,1168,81
3159,313,7
3160,399,11
3161,678,150
3162,1825,69
3163,2289,99
3164,1408,150
3165,1168,150
3166,550,131
3167,399,131
3168,313,199
3169,815,99
3170,1901,81
3171,1930,41
3172,597,131
3173,1997,81
3174,1718,35
3175,1348,199
3176,1901,11
3177,1718,81
3178,1217,7
3179,550,7
3180,741,7
3181,399,131
3182,815,7
3183,399,11
3184,1947,41
3185,1718,11
3186,399,150
3187,313,150
3188,1930,81
3189,687,150
3190,663,69
3191,1997,7
3192,201,7
3193,836,41
3194,1825,131
3195,1350,69
3196,2074,69
3197,223,131
3198,678,41
3199,399,7
3200,647,150
3201,1718,81
3202,1348,41
3203,550,99
3204,332,99
3205,762,35
3206,687,199
3207,1951,7
3208,815,69
3209,762,131
3210,741,35
3211,332,11
3212,2241,11
3213,678,81
3214,687,81
3215,2074,7
3216,678,11
3217,1718,150
3218,234,35
3219,1348,35
3220,223,199
3221,663,69
3222,386,99
3223,741,150
3224,597,81
3225,706,81
3226,332,150
3227,223,150
3228,2241,99
3229,313,41
3230,1348,131
3231,967,199
3232,1930,131
3233,1217,69
3234,399,99
3235,597,41
3236,201,99
3237,597,11
3238,386,81
3239,597,131
3240,550,81
3241,597,41
3242,815,11
3243,1538,41
3244,1348,199
3245,815,41
3246,386,69
3247,2046,99
3248,706,99
3249,1947,81
3250,1965,199
3251,1350,131
3252,597,69
3253,1930,41
3254,1348,69
3255,223,81
3256,1997,69
3257,602,99
3258,1930,69
3259,1718,81
3260,2046,7
3261,2074,41
3262,1951,199
3263,1350,131
3264,234,99
3265,1350,7
3266,1168,11
3267,1901,131
3268,2251,11
3269,706,41
3270,687,150
3271,836,99
3272,1217,131
3273,1348,199
3274,1976,41
3275,313,69
3276,386,131
3277,741,35
3278,1350,7
3279,678,35
3280,762,41
3281,386,41
3282,1408,150
3283,201,7
3284,234,150
3285,1951,69
3286,2046,35
3287,1930,81
3288,1348,11
3289,234,35
3290,663,199
3291,550,7
3292,2251,69
3293,223,35
3294,597,150
3295,1217,131
3296,386,7
3297,1408,81
3298,1965,199
3299,762,150
3300,687,150
3301,1217,81
3302,1997,99
3303,386,81
3304,706,131
3305,223,35
3306,1348,11
3307,1965,131
3308,2289,41
3309,1965,81
3310,332,41
3311,602,81
3312,399,99
3313,1901,150
3314,386,131
3315,2251,81
3316,234,99
3317,1997,131
3318,1168,150
3319,815,81
3320,647,35
3321,386,99
3322,399,7
3323,597,131
3324,602,199
3325,223,131
3326,647,99
3327,647,11
3328,1348,11
3329,1947,41
3330,836,150
3331,201,199
3332,1930,99
3333,762,81
3334,1408,69
3335,1951,69
3336,687,11
3337,234,69
3338,836,99
3339,1718,199
3340,2241,81
3341,815,11
3342,687,150
3343,741,69
3344,386,35
3345,1901,99
3346,687,11
3347,687,81
3348,399,35
3349,1951,81
3350,1408,81
3351,332,41
3352,223,41
3353,836,150
3354,1947,99
3355,1825,131
3356,386,199
3357,597,7
3358,706,81
3359,706,199
3360,201,131
3361,706,41
3362,1538,69
3363,399,11
3364,1168,35
3365,597,41
3366,2074,131
3367,663,150
3368,678,41
3369,1718,150
3370,687,69
3371,1930,99
3372,836,131
3373,1168,7
3374,1951,199
3375,313,81
3376,1348,131
3377,602,199
3378,234,7
3379,815,150
3380,1408,69
3381,223,69
3382,1217,35
3383,332,7
3384,741,41
3385,1718,69
3386,2289,131
3387,2251,11
3388,836,81
3389,815,41
3390,2241,7
3391,815,41
3392,2241,35
3393,602,131
3394,234,131
3395,762,11
3396,1408,81
3397,815,69
3398,1976,131
3399,386,131
3400,399,81
3401,1538,69
3402,223,199
3403,1350,7
3404,741,150
3405,1408,69
3406,223,11
3407,647,7
3408,1901,81
3409,1718,35
3410,967,81
3411,2046,7
3412,602,99
3413,223,69
3414,967,131
3415,967,81
3416,1350,35
3417,1951,199
3418,1951,81
3419,741,150
3420,741,150
3421,1718,35
3422,1350,41
3423,2074,150
3424,386,69
3425,313,35
3426,2074,69
3427,762,11
3428,687,7
3429,2241,199
3430,1825,99
3431,1217,199
3432,386,41
3433,2046,99
3434,967,35
3435,1825,69
3436,1538,131
3437,1538,199
3438,647,150
3439,1947,99
3440,2241,35
3441,663,99
3442,967,81
3443,1168,81
3444,1825,81
3445,815,81
3446,1976,150
3447,1930,99
3448,815,81
3449,2241,35
3450,2251,11
3451,1348,41
3452,741,69
3453,2241,35
3454,836,41
3455,1408,131
3456,1168,69
3457,2046,11
3458,2241,11
3459,597,99
3460,1930,41
3461,332,35
3462,1538,131
3463,1168,7
3464,706,35
3465,1217,41
3466,1408,69
3467,201,99
3468,597,7
3469,597,35
3470,762,150
3471,332,7
3472,706,69
3473,1348,199
3474,1538,81
3475,332,81
3476,1168,131
3477,706,7
3478,386,41
3479,234,41
3480,2046,7
3481,1997,99
3482,1825,69
3483,234,69
3484,967,81
3485,1408,81
3486,597,7
3487,234,199
3488,1825,35
3489,2241,150
3490,597,35
3491,647,199
3492,1825,81
3493,1538,99
3494,1538,35
3495,1348,81
3496,201,69
3497,687,41
3498,1965,150
3499,1965,7
3500,1348,11
3501,706,131
3502,836,81
3503,223,131
3504,332,11
3505,1217,99
3506,663,7
3507,234,81
3508,1408,7
3509,2251,150
3510,332,131
3511,550,41
3512,2241,41
3513,1965,99
3514,2241,11
3515,706,41
3516,201,11
3517,2251,41
3518,332,11
3519,1901,99
3520,1408,35
3521,550,131
3522,1168,7
3523,741,69
3524,1348,99
3525,1965,35
3526,2241,81
3527,201,35
3528,2241,7
3529,967,69
3530,1997,35
3531,2046,131
3532,602,7
3533,1538,69
3534,597,99
3535,201,131
3536,602,199
3537,687,99
3538,2289,131
3539,1997,7
3540,2251,7
3541,234,81
3542,967,99
3543,1947,7
3544,602,41
3545,313,99
3546,687,99
3547,815,131
3548,1350,11
3549,1976,199
3550,815,81
3551,1825,7
3552,815,7
3553,1947,35
3554,663,81
3555,663,41
3556,967,199
3557,234,35
3558,1408,41
3559,1997,11
3560,399,11
3561,663,41
3562,2046,199
3563,1930,131
3564,815,81
3565,399,11
3566,1825,11
3567,597,199
3568,1168,69
3569,223,11
3570,1538,11
3571,386,41
3572,647,69
3573,1350,99
3574,2046,7
3575,687,199
3576,663,35
3577,1947,150
3578,332,131
3579,386,99
3580,1350,99
3581,2289,131
3582,1348,41
3583,234,199
3584,550,35
3585,201,131
3586,313,81
3587,597,7
3588,836,131
3589,597,69
3590,1348,131
3591,332,35
3592,223,99
3593,2046,7
3594,1825,7
3595,1965,150
3596,663,81
3597,1997,99
3598,2046,35
3599,1825,199
3600,687,41
3601,1976,199
3602,1965,69
3603,234,131
3604,550,69
3605,332,41
3606,815,99
3607,678,99
3608,550,150
3609,313,150
3610,1901,69
3611,815,69
3612,1901,41
3613,1951,131
3614,550,7
3615,1168,131
3616,1976,41
3617,1168,41
3618,687,11
3619,550,69
3620,762,69
3621,550,41
3622,663,99
3623,1538,35
3624,1965,99
3625,1168,81
3626,687,81
3627,386,41
3628,313,81
3629,1408,69
3630,1217,131
3631,386,81
3632,2289,199
3633,741,199
3634,1901,81
3635,1168,81
3636,2289,150
3637,741,199
3638,663,199
3639,332,99
3640,332,7
3641,1825,11
3642,663,99
3643,1348,99
3644,2074,99
3645,1825,99
3646,1350,7
3647,1997,150
3648,1168,131
3649,201,199
3650,1930,11
3651,234,199
3652,332,99
3653,1408,131
3654,1168,99
3655,399,131
3656,332,69
3657,1825,11
3658,836,35
3659,1976,199
3660,1168,69
3661,399,150
3662,399,69
3663,647,41
3664,687,7
3665,967,11
3666,1168,150
3667,1168,35
3668,1976,81
3669,706,11
3670,1951,35
3671,602,150
3672,1350,131
3673,602,150
3674,687,199
3675,1718,69
3676,2289,131
3677,1538,99
3678,1350,99
3679,663,81
3680,1168,11
3681,550,7
3682,223,150
3683,2074,7
3684,1901,81
3685,201,99
3686,201,150
3687,815,199
3688,663,199
3689,1350,11
3690,313,150
3691,2251,99
3692,1408,199
3693,1947,99
3694,1168,199
3695,1901,150
3696,2074,81
3697,1947,69
3698,1965,199
3699,1825,99
3700,741,11
3701,399,81
3702,399,99
3703,1408,41
3704,647,41
3705,223,99
3706,2046,35
3707,2251,150
3708,1901,11
3709,836,11
3710,1825,131
3711,1408,99
3712,1718,150
3713,815,150
3714,2251,41
3715,1217,81
3716,1168,199
3717,678,35
3718,1901,199
3719,234,11
3720,647,35
3721,313,7
3722,234,35
3723,1951,11
3724,1976,150
3725,1718,35
3726,1965,11
3727,1951,35
3728,1408,199
3729,1825,131
3730,762,99
3731,1997,11
3732,1997,81
3733,1350,35
3734,1168,199
3735,1976,11
3736,2241,199
3737,597,7
3738,1538,99
3739,1538,199
3740,647,41
3741,399,41
3742,2241,69
3743,678,131
3744,1976,81
3745,706,199
3746,2046,199
3747,1538,131
3748,1408,69
3749,234,199
3750,741,35
3751,687,41
3752,1965,81
3753,1718,11
3754,1408,131
3755,1901,150
3756,1951,35
3757,1947,35
3758,2046,150
3759,1825,99
3760,313,150
3761,2289,199
3762,2289,81
3763,1538,35
3764,1408,11
3765,223,81
3766,332,150
3767,1348,69
3768,1947,131
3769,1976,81
3770,223,69
3771,1538,150
3772,2289,150
3773,2251,7
3774,1348,150
3775,313,35
3776,2289,199
3777,1168,35
3778,687,131
3779,741,150
3780,234,99
3781,687,11
3782,2074,41
3783,762,81
3784,1965,131
3785,1350,7
3786,2289,41
3787,1951,7
3788,2074,150
3789,1976,35
3790,1217,150
3791,2251,7
3792,1350,150
3793,1930,69
3794,647,69
3795,1718,41
3796,2046,7
3797,1348,81
3798,815,131
3799,741,11
3800,2046,131
3801,2289,199
3802,234,41
3803,1965,199
3804,663,11
3805,1997,11
3806,967,35
3807,313,41
3808,234,131
3809,2251,11
3810,762,69
3811,1168,199
3812,597,99
3813,1976,199
3814,687,7
3815,1408,69
3816,1350,81
3817,1348,199
3818,1930,199
3819,1965,131
3820,967,11
3821,602,150
3822,1901,35
3823,2241,11
3824,313,199
3825,2251,150
3826,602,69
3827,762,11
3828,663,131
3829,1965,7
3830,602,7
3831,678,35
3832,313,199
3833,2046,131
3834,762,131
3835,836,99
3836,201,11
3837,550,150
3838,663,11
3839,2074,81
3840,815,81
3841,1217,11
3842,1947,199
3843,1901,11
3844,386,99
3845,313,81
3846,602,41
3847,1718,11
3848,678,7
3849,815,11
3850,597,81
3851,332,150
3852,1976,7
3853,550,99
3854,1217,11
3855,2074,35
3856,332,199
3857,201,99
3858,1350,81
3859,687,150
3860,815,41
3861,2241,99
3862,741,131
3863,967,69
3864,1976,150
3865,386,150
3866,1930,11
3867,1965,81
